generator_id,osm_id,generator_type,name,source_layer,nearest_crossing_id,nearest_crossing_m,crossing_within_100m,crossing_within_150m,nearest_major_road_id,nearest_major_road_class,nearest_major_road_m,major_road_within_150m,signals_within_50m,nearest_crossing_signals_within_50m,nearest_crossing_major_road_m,traffic_calming_within_100m,sidewalk_no_roads_within_50m,lit_no_roads_within_50m,risk_score,risk_flags,data_quality_flags,review_wording,geometry_wkt,lon,lat
gen_0152,3979292201,bus_stop,מחלף נווה ימין,gis_osm_transport_free_1,cross_0017,242.9,False,False,road_02093,trunk,4.1,True,1,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (194276.854058 675904.730363),34.93746359950885,32.17634720063458
gen_0125,1803064894,bus_stop,סוקולוב/ששת הימים,gis_osm_transport_free_1,cross_0155,242.0,False,False,road_00758,tertiary,6.8,True,1,0,1.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190902.703046 675601.58813),34.90169699950985,32.173533000632695
gen_0140,1803086658,bus_stop,שד. מנחם בגין/דוד רמז,gis_osm_transport_free_1,cross_0187,241.4,False,False,road_00190,secondary,1.8,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190334.495146 677493.151367),34.895614999511324,32.19057600063055
gen_0170,5210720858,bus_stop,משה דיין/זמנהוף,gis_osm_transport_free_1,cross_0176,238.4,False,False,road_00621,tertiary,6.3,True,0,0,5.5,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192692.933694 675994.148817),34.92066699950947,32.177117000633466
gen_0153,5210713957,bus_stop,השמחה/ד״ר משה סנה,gis_osm_transport_free_1,cross_0202,234.5,False,False,road_00583,tertiary,5.5,True,0,0,8.2,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190264.90054 676935.559222),34.894893999510955,32.18554600063103
gen_0169,5210720857,bus_stop,משה דיין/זמנהוף,gis_osm_transport_free_1,cross_0176,230.9,False,False,road_00621,tertiary,3.3,True,0,0,5.5,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (192687.700446 676012.459903),34.92061099950949,32.17728200063345
gen_0103,1803041832,bus_stop,טשרניחובסקי/כנפי נשרים,gis_osm_transport_free_1,cross_0212,230.5,False,False,road_02026,primary,9.7,True,0,0,6.4,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191328.869409 677317.57389),34.90616499951083,32.18901800063134
gen_0007,12172547108,bus_stop,בן גוריון/הרצל,gis_osm_transport_free_1,cross_0159,229.6,False,False,road_00116,tertiary,6.1,True,0,0,0.0,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (191759.625797 675413.024853),34.91078799950943,32.17185400063343
gen_0045,1803004989,bus_stop,ד״ר משה סנה/ברקן,gis_osm_transport_free_1,cross_0202,228.9,False,False,road_00576,tertiary,10.2,True,0,0,8.2,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190388.250181 677033.899844),34.89619899951099,32.186436000631026
gen_0301,641703934,park,,gis_osm_landuse_a_free_1,cross_0187,226.7,False,False,road_00762,secondary,146.4,True,0,0,7.7,0,0,0,75,"[""major_road_within_150m"", ""no_mapped_crossing_within_150m"", ""nearest_crossing_near_major_road_without_signal_within_50m"", ""no_mapped_traffic_calming_within_100m_weak_indicator""]","[""pilot_boundary_osm_geofabrik_not_official"", ""nearest_crossing_detail_tags_missing"", ""nearby_sidewalk_tags_missing"", ""nearby_lit_tags_missing"", ""nearby_major_road_maxspeed_missing""]",This location has infrastructure risk indicators and should be reviewed on-site.,POINT (190239.167537 677347.529001),34.894608547103836,32.189260350812795
