source_dataset_id,source_file_name,source_layer,osm_id,code,fclass,population,name,name_search,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat,pbf_enriched_workspace_id,route_aware_workspace_id,source_gis_modified
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87168407,1003,village,543,שניר,שניר  87168407,35.6742800,33.2366590,35.6815605,33.2463706,safe_access_pilot_87168407_pbf_enriched_v001,safe_access_pilot_87168407_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87308164,1003,village,0,בר גיורא,בר גיורא  87308164,35.0649020,31.7259593,35.0779722,31.7334776,safe_access_pilot_87308164_pbf_enriched_v001,safe_access_pilot_87308164_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87309334,1003,village,0,נס הרים,נס הרים  87309334,35.0507903,31.7409138,35.0643262,31.7480669,safe_access_pilot_87309334_pbf_enriched_v001,safe_access_pilot_87309334_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,87353071,1003,village,0,בית מאיר,בית מאיר  87353071,35.0319665,31.7904008,35.0434678,31.7981388,safe_access_pilot_87353071_pbf_enriched_v001,safe_access_pilot_87353071_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,88519914,1003,village,0,אליקים,אליקים  88519914,35.0624832,32.6274123,35.0718975,32.6358413,safe_access_pilot_88519914_pbf_enriched_v001,safe_access_pilot_88519914_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,89347662,1003,village,0,אייל,אייל  89347662,34.9754262,32.2056338,34.9826297,32.2144371,safe_access_pilot_89347662_pbf_enriched_v001,safe_access_pilot_89347662_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90524404,1003,village,313,אמנון,אמנון  90524404,35.5666219,32.9027741,35.5793871,32.9083290,safe_access_pilot_90524404_pbf_enriched_v001,safe_access_pilot_90524404_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90573978,1003,village,459,כנף,כנף  90573978,35.6947990,32.8666484,35.7008124,32.8737438,safe_access_pilot_90573978_pbf_enriched_v001,safe_access_pilot_90573978_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90576911,1003,village,543,רמות,רמות  90576911,35.6625245,32.8399463,35.6709637,32.8574441,safe_access_pilot_90576911_pbf_enriched_v001,safe_access_pilot_90576911_route_aware_v001,False
israel-and-palestine-260521-free-shp-zip,israel-and-palestine-260521-free.shp.zip,gis_osm_places_a_free_1,90578202,1003,village,0,עין גב,עין גב  90578202,35.6356702,32.7790989,35.6407877,32.7879122,safe_access_pilot_90578202_pbf_enriched_v001,safe_access_pilot_90578202_route_aware_v001,False
